intent_signature,intent,intent_tamil,crop,crop_tamil,soil_type,soil_tamil,required_entities,response_policy
AGR|YIELD|CROP=tomato|SOIL=black,yield,மகசூல்,tomato,தக்காளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tomato|SOIL=alluvial,yield,மகசூல்,tomato,தக்காளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tomato|SOIL=sandy,yield,மகசூல்,tomato,தக்காளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tomato|SOIL=clay,yield,மகசூல்,tomato,தக்காளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tomato|SOIL=loamy,yield,மகசூல்,tomato,தக்காளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tomato|SOIL=laterite,yield,மகசூல்,tomato,தக்காளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=red,yield,மகசூல்,chilli,மிளகாய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=black,yield,மகசூல்,chilli,மிளகாய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=alluvial,yield,மகசூல்,chilli,மிளகாய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=sandy,yield,மகசூல்,chilli,மிளகாய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=clay,yield,மகசூல்,chilli,மிளகாய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=loamy,yield,மகசூல்,chilli,மிளகாய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=chilli|SOIL=laterite,yield,மகசூல்,chilli,மிளகாய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=red,yield,மகசூல்,onion,வெங்காயம்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=black,yield,மகசூல்,onion,வெங்காயம்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=alluvial,yield,மகசூல்,onion,வெங்காயம்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=sandy,yield,மகசூல்,onion,வெங்காயம்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=clay,yield,மகசூல்,onion,வெங்காயம்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=loamy,yield,மகசூல்,onion,வெங்காயம்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=onion|SOIL=laterite,yield,மகசூல்,onion,வெங்காயம்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=red,yield,மகசூல்,turmeric,மஞ்சள்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=black,yield,மகசூல்,turmeric,மஞ்சள்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=alluvial,yield,மகசூல்,turmeric,மஞ்சள்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=sandy,yield,மகசூல்,turmeric,மஞ்சள்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=clay,yield,மகசூல்,turmeric,மஞ்சள்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=loamy,yield,மகசூல்,turmeric,மஞ்சள்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=turmeric|SOIL=laterite,yield,மகசூல்,turmeric,மஞ்சள்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=red,yield,மகசூல்,brinjal,கத்தரிக்காய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=black,yield,மகசூல்,brinjal,கத்தரிக்காய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=alluvial,yield,மகசூல்,brinjal,கத்தரிக்காய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=sandy,yield,மகசூல்,brinjal,கத்தரிக்காய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=clay,yield,மகசூல்,brinjal,கத்தரிக்காய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=loamy,yield,மகசூல்,brinjal,கத்தரிக்காய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=brinjal|SOIL=laterite,yield,மகசூல்,brinjal,கத்தரிக்காய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=red,yield,மகசூல்,okra,வெண்டைக்காய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=black,yield,மகசூல்,okra,வெண்டைக்காய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=alluvial,yield,மகசூல்,okra,வெண்டைக்காய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=sandy,yield,மகசூல்,okra,வெண்டைக்காய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=clay,yield,மகசூல்,okra,வெண்டைக்காய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=loamy,yield,மகசூல்,okra,வெண்டைக்காய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=okra|SOIL=laterite,yield,மகசூல்,okra,வெண்டைக்காய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=red,yield,மகசூல்,coconut,தென்னை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=black,yield,மகசூல்,coconut,தென்னை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=alluvial,yield,மகசூல்,coconut,தென்னை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=sandy,yield,மகசூல்,coconut,தென்னை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=clay,yield,மகசூல்,coconut,தென்னை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=loamy,yield,மகசூல்,coconut,தென்னை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=coconut|SOIL=laterite,yield,மகசூல்,coconut,தென்னை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=red,yield,மகசூல்,pulses,பயறு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=black,yield,மகசூல்,pulses,பயறு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=alluvial,yield,மகசூல்,pulses,பயறு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=sandy,yield,மகசூல்,pulses,பயறு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=clay,yield,மகசூல்,pulses,பயறு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=loamy,yield,மகசூல்,pulses,பயறு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=pulses|SOIL=laterite,yield,மகசூல்,pulses,பயறு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=red,yield,மகசூல்,sesame,எள்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=black,yield,மகசூல்,sesame,எள்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=alluvial,yield,மகசூல்,sesame,எள்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=sandy,yield,மகசூல்,sesame,எள்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=clay,yield,மகசூல்,sesame,எள்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=loamy,yield,மகசூல்,sesame,எள்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=sesame|SOIL=laterite,yield,மகசூல்,sesame,எள்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=red,yield,மகசூல்,tapioca,மரவள்ளி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=black,yield,மகசூல்,tapioca,மரவள்ளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=alluvial,yield,மகசூல்,tapioca,மரவள்ளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=sandy,yield,மகசூல்,tapioca,மரவள்ளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=clay,yield,மகசூல்,tapioca,மரவள்ளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=loamy,yield,மகசூல்,tapioca,மரவள்ளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=tapioca|SOIL=laterite,yield,மகசூல்,tapioca,மரவள்ளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=red,yield,மகசூல்,drumstick,முருங்கை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=black,yield,மகசூல்,drumstick,முருங்கை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=alluvial,yield,மகசூல்,drumstick,முருங்கை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=sandy,yield,மகசூல்,drumstick,முருங்கை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=clay,yield,மகசூல்,drumstick,முருங்கை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=loamy,yield,மகசூல்,drumstick,முருங்கை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|YIELD|CROP=drumstick|SOIL=laterite,yield,மகசூல்,drumstick,முருங்கை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=red,market_price,சந்தை விலை,rice,நெல்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=black,market_price,சந்தை விலை,rice,நெல்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=alluvial,market_price,சந்தை விலை,rice,நெல்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=sandy,market_price,சந்தை விலை,rice,நெல்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=clay,market_price,சந்தை விலை,rice,நெல்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=loamy,market_price,சந்தை விலை,rice,நெல்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=rice|SOIL=laterite,market_price,சந்தை விலை,rice,நெல்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=red,market_price,சந்தை விலை,banana,வாழை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=black,market_price,சந்தை விலை,banana,வாழை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=alluvial,market_price,சந்தை விலை,banana,வாழை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=sandy,market_price,சந்தை விலை,banana,வாழை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=clay,market_price,சந்தை விலை,banana,வாழை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=loamy,market_price,சந்தை விலை,banana,வாழை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=banana|SOIL=laterite,market_price,சந்தை விலை,banana,வாழை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=red,market_price,சந்தை விலை,sugarcane,கரும்பு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=black,market_price,சந்தை விலை,sugarcane,கரும்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=alluvial,market_price,சந்தை விலை,sugarcane,கரும்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=sandy,market_price,சந்தை விலை,sugarcane,கரும்பு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=clay,market_price,சந்தை விலை,sugarcane,கரும்பு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=loamy,market_price,சந்தை விலை,sugarcane,கரும்பு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=sugarcane|SOIL=laterite,market_price,சந்தை விலை,sugarcane,கரும்பு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=red,market_price,சந்தை விலை,cotton,பருத்தி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=black,market_price,சந்தை விலை,cotton,பருத்தி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=alluvial,market_price,சந்தை விலை,cotton,பருத்தி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=sandy,market_price,சந்தை விலை,cotton,பருத்தி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=clay,market_price,சந்தை விலை,cotton,பருத்தி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=loamy,market_price,சந்தை விலை,cotton,பருத்தி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=cotton|SOIL=laterite,market_price,சந்தை விலை,cotton,பருத்தி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=red,market_price,சந்தை விலை,groundnut,நிலக்கடலை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=black,market_price,சந்தை விலை,groundnut,நிலக்கடலை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=alluvial,market_price,சந்தை விலை,groundnut,நிலக்கடலை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=sandy,market_price,சந்தை விலை,groundnut,நிலக்கடலை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=clay,market_price,சந்தை விலை,groundnut,நிலக்கடலை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=loamy,market_price,சந்தை விலை,groundnut,நிலக்கடலை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=groundnut|SOIL=laterite,market_price,சந்தை விலை,groundnut,நிலக்கடலை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=red,market_price,சந்தை விலை,maize,மக்காச்சோளம்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=black,market_price,சந்தை விலை,maize,மக்காச்சோளம்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=alluvial,market_price,சந்தை விலை,maize,மக்காச்சோளம்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=sandy,market_price,சந்தை விலை,maize,மக்காச்சோளம்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=clay,market_price,சந்தை விலை,maize,மக்காச்சோளம்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=loamy,market_price,சந்தை விலை,maize,மக்காச்சோளம்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=maize|SOIL=laterite,market_price,சந்தை விலை,maize,மக்காச்சோளம்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=red,market_price,சந்தை விலை,millet,கம்பு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=black,market_price,சந்தை விலை,millet,கம்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=alluvial,market_price,சந்தை விலை,millet,கம்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=sandy,market_price,சந்தை விலை,millet,கம்பு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=clay,market_price,சந்தை விலை,millet,கம்பு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=loamy,market_price,சந்தை விலை,millet,கம்பு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=millet|SOIL=laterite,market_price,சந்தை விலை,millet,கம்பு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=red,market_price,சந்தை விலை,tomato,தக்காளி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=black,market_price,சந்தை விலை,tomato,தக்காளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=alluvial,market_price,சந்தை விலை,tomato,தக்காளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=sandy,market_price,சந்தை விலை,tomato,தக்காளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=clay,market_price,சந்தை விலை,tomato,தக்காளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=loamy,market_price,சந்தை விலை,tomato,தக்காளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=tomato|SOIL=laterite,market_price,சந்தை விலை,tomato,தக்காளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=chilli|SOIL=red,market_price,சந்தை விலை,chilli,மிளகாய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|MARKET_PRICE|CROP=chilli|SOIL=black,market_price,சந்தை விலை,chilli,மிளகாய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
