english,tamil
suggested to clean the area and spray topicure spray on the affected area twice daily.,"பாதிக்கப்பட்ட பகுதியில் தினமும் இரண்டு முறை டாபிக்கர் ஸ்பிரேயை அப்பகுதியை சுத்தம் செய்யவும், தெளிக்கவும்."
asking about treatment of anoestrus in cow.,பசுவின் அனோஸ்ட்ரஸ் சிகிச்சை பற்றி கேட்டேன்.
suggested to administer prajana capsule @3 capsule on first day and 3 capsule on second day and repeat the same dose on eleventh day and twelve day.along with that inject tonophosfen inj @10 ml at alternate day for five times.,முதல் நாள் பிரஜானா காப்ஸ்யூல் @3 காப்ஸ்யூல் மற்றும் இரண்டாவது நாளில் 3 காப்ஸ்யூல் மற்றும் பதினொன்றாம் நாள் மற்றும் பன்னிரெண்டு நாளில் அதே அளவை மீண்டும் செய்யவும். அதனுடன் டோனோபோஸ்ஃபென் இன்ஜெக்ட் @10 மில்லியை மாற்று நாளில் ஐந்து முறை செலுத்தவும்.
asking about treatment of worm infestation of a cow.,ஒரு பசுவின் புழு தொல்லைக்கு சிகிச்சை பற்றி கேட்டேன்.
suggested him to administer panacur 1.5gm bolus @1 bolus.repeat the same dose after 15 days.,1.5gm bolus @1 bolus
asking about some hybrid variety of maize.,மக்காச்சோளத்தின் சில கலப்பின வகைகளைப் பற்றி கேட்கிறேன்.
"suggested to grow hybrid variety like-ganga-5,hi-starch.","கங்கா-5, ஹை-ஸ்டார்ச் போன்ற கலப்பின வகைகளை வளர்க்க பரிந்துரைக்கப்படுகிறது."
asking about the control measure to control fruit borer pest in ridge gourd.,பூசணிக்காயில் பழம் துளைப்பான் பூச்சியைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray neem based pesticide like-achook/neem gold@5ml/liter of water.,வேம்பு அடிப்படையிலான பூச்சிக்கொல்லி மருந்து-அச்சூக்/வேம்பு தங்கம்@5 மில்லி/லிட்டர் தண்ணீரில் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about treatment of diarrhoea in buffalo.,எருமைக்கு வயிற்றுப்போக்கு சிகிச்சை பற்றி கேட்டேன்.
suggested to administer neblon powder @50 gm twice daily for five days.change the feed for 10 days and observe.,நெப்லான் பவுடர் @50 கிராம் தினமும் இரண்டு முறை ஐந்து நாட்களுக்கு கொடுக்க பரிந்துரைக்கப்படுகிறது. 10 நாட்களுக்கு தீவனத்தை மாற்றி கவனிக்கவும்.
suggested to administer prajana capsule @3 capsule for two consecutive days and repeat the same dose on 10th and 11th day.along with that administer cofecu tab @1 tab daily.,"பிரஜானா காப்ஸ்யூல் @3 காப்ஸ்யூலை இரண்டு நாட்களுக்கு தொடர்ந்து கொடுக்கவும், அதே டோஸ் 10 மற்றும் 11 வது நாளில் மீண்டும் செய்யவும். அதனுடன் தினமும் cofecu டேப் @1 டேப் நிர்வகிக்கவும்."
asking about treatment of wound in cow.,பசுவில் ஏற்பட்ட காயத்திற்கு சிகிச்சையளிப்பது குறித்து கேட்டறிந்தார்.
suggested to keep the wound clean and then spray scavon spray on the affected area twice daily.,"காயத்தை சுத்தமாக வைத்திருக்கவும், பின்னர் பாதிக்கப்பட்ட பகுதியில் ஸ்கேவான் ஸ்ப்ரேயை தினமும் இரண்டு முறை தெளிக்கவும்."
asking what control measure should be taken to control flower drop in coocnut plant.,தென்னை செடியில் பூ உதிர்வதை கட்டுப்படுத்த என்ன கட்டுப்பாட்டு நடவடிக்கை எடுக்க வேண்டும் என்று கேட்டனர்.
"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also advised to spray planofix@1tsf/15 liters of water at the time of flowering.fertilizer should be applied in two equal split doses twice in a year in trench method.","பரிந்துரைக்கப்பட்ட உர அளவு யூரியா @ 1.5 கிலோ / செடி, எஸ்எஸ்பி @ 2.5 கிலோ / செடி, மாப் @ 1.75 கிலோ / செடி, போராக்ஸ் @ 25 கிராம் / செடி போன்ற பரிந்துரைக்கப்படுகிறது மேலும் planofix @ 1 tsf / 15 லிட்டர் தண்ணீர் தெளிக்க அறிவுறுத்தப்படுகிறது ."
asking about the control measure to control stored grain pest infestation in store house of paddy.,நெல் களஞ்சியசாலையில் சேமித்து வைக்கப்பட்டுள்ள தானியப் பூச்சித் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray 5% malathion dust.,5% மாலத்தியான் தூசி தெளிக்க பரிந்துரைக்கப்படுகிறது.
"telling that his chilli fruits are suffering from rotting problem,what is the reamedy measure.","தனது மிளகாய் பழங்கள் அழுகும் பிரச்சனையால் அவதிப்படுவதாக கூற, அதற்கான தீர்வு என்ன?"
suggested to apply mancozeb@2.5 gram/liter of water.,மான்கோசெப்@2.5 கிராம்/லிட்டர் தண்ணீருக்குப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about the controlling measure for ganderma disease of coconut.,தென்னையின் கேண்டர்மா நோயைக் கட்டுப்படுத்தும் நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested mr paul to spray captan @2ml/litre of water and to apply 7kg neemcake and 1.5-2.0kg sulphur /tree.,"கேப்டானை @2மிலி/லிட்டர் தண்ணீருக்கு தெளிக்கவும், 7 கிலோ வேப்பம் புண்ணாக்கு மற்றும் 1.5-2.0 கிலோ கந்தகம் / மரத்திற்கு இடவும் திரு பால் பரிந்துரைத்தார்."
asking about the proper spacing for brinjal cultivation.,கத்தரி சாகுபடிக்கான சரியான இடைவெளி குறித்து கேட்டறிந்தார்.
suggested that spacing is-74cm.(row to row)x 60cm. (plant to plant).,இடைவெளி-74cm.(வரிசை முதல் வரிசை வரை)x 60cm என்று பரிந்துரைத்தார். (தாவரத்திற்கு நடவு).
asking about the sowing season of black gram,உளுந்து விதைப்பு பருவம் குறித்து கேட்டனர்
mid august to mid september is the best sowing time for black gram,ஆகஸ்ட் நடுப்பகுதி முதல் செப்டம்பர் நடுப்பகுதி வரை உளுந்துக்கு சிறந்த விதைப்பு நேரம்
asking about treatment after deworming of a cow.,ஒரு மாட்டுக்கு குடற்புழு நீக்கிய பின் சிகிச்சை பற்றி கேட்டேன்.
suggested him to administer feroliv @1cup twice daily.,தினமும் இரண்டு முறை ஃபெரோலிவ் @1 கப் கொடுக்க அவருக்கு பரிந்துரைத்தார்.
suggested to administer neblon powder @50 gm twice daily for five days.along with administer steclin bolus @2 bolus twice daily for five days.,நெப்லான் பவுடர் @50 கிராம் தினசரி ஐந்து நாட்களுக்கு இரண்டு முறை கொடுக்க பரிந்துரைக்கப்படுகிறது. அத்துடன் ஸ்டெக்லின் போலஸ் @2 போலஸை தினமும் இரண்டு முறை ஐந்து நாட்களுக்கு நிர்வகிக்கவும்.
asking about some early variety of knolkhol.,சில ஆரம்ப வகை knolkhol பற்றி கேட்டேன்.
"given in details regarding early variety like-white vienna,priya etc.","வெள்ளை வியன்னா, பிரியா போன்ற ஆரம்ப வகைகளைப் பற்றிய விவரங்கள் கொடுக்கப்பட்டுள்ளன."
asking about the control measure to control rice caseworm infestation in sali rice cultivation,சாலி நெல் சாகுபடியில் நெற்பயிர் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்
suggested first to drain-off the excess water from the field to kill the floating larvae and to spray ekalux 25ec@2ml/liter of water.,"மிதக்கும் லார்வாக்களை அழிக்க வயலில் உள்ள அதிகப்படியான நீரை வெளியேற்றவும், எக்கலக்ஸ் 25ec@2ml/லிட்டர் தண்ணீரில் தெளிக்கவும் முதலில் பரிந்துரைக்கப்பட்டது."
asking about the control measure to control fruit rot problem in cow pea.,மாட்டுப் பட்டாணியில் பழ அழுகலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
asking about the control measure to control powdery mildew disease in okra.,ஓக்ராவில் நுண்துகள் பூஞ்சை காளான் நோயைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்.
suggested to apply sulfex@1 teaspoonful/liter of water.,சல்ஃபெக்ஸ்@1 தேக்கரண்டி அளவு/லிட்டர் தண்ணீருக்குப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
the farmer has got 1kg rice seed from gram panchayat officila in free of cost. he is asking about the variety of the said seed.,விவசாயி ஒரு கிலோ நெல் விதையை கிராம பஞ்சாயத்து அலுவலகத்தில் இருந்து இலவசமாக பெற்றுள்ளார். அவர் சொல்லப்பட்ட விதையின் வகையைப் பற்றி கேட்கிறார்.
suggested to conferm the variety from concern agricultural development officer or village level extension worker of state department of agriculture.,சம்பந்தப்பட்ட வேளாண்மை வளர்ச்சி அலுவலர் அல்லது மாநில வேளாண்மைத் துறையின் கிராம அளவிலான விரிவாக்கப் பணியாளரிடம் இருந்து பல்வேறு வகைகளை வழங்க பரிந்துரைக்கப்பட்டது.
asking about sowing time for early variety cauliflower.,ஆரம்ப வகை காலிஃபிளவர் விதைப்பு நேரம் பற்றி கேட்கிறது.
suggested that early sowing time is-mid july to first week of august.,ஆரம்ப விதைப்பு நேரம் ஜூலை நடுப்பகுதி முதல் ஆகஸ்ட் முதல் வாரம் வரை என்று பரிந்துரைக்கப்படுகிறது.
asking about the control measure to control brinjal fruit borer pest in brinjal cultivation.,கத்தரி சாகுபடியில் கத்தரிக்காய் பழம் துளைப்பான் பூச்சியைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray azadirachtin product like-neem gold/neemax-m@2ml/liter of water.,வேம்பு தங்கம்/நீமேக்ஸ்-மீ @ 2மிலி/லிட்டர் தண்ணீர் போன்ற அசாடிராக்டின் தயாரிப்பு தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about the control measure to control leaf curling problem in chilli.,மிளகாயில் இலை சுருட்டுப் பிரச்னையைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray rogor 40ec@2.5ml/liter of water at 15 days interval.,ரோகோர் 40இசி@2.5மிலி/லிட்டர் தண்ணீருக்கு 15 நாட்கள் இடைவெளியில் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about treatment of mastitis of a cow.,ஒரு பசுவின் முலையழற்சி சிகிச்சை பற்றி கேட்டேன்.
suggested him to administer m-ceft inj i/mly.along with that administer ketop inj @3ml i/mly for 5 days.,m-ceft inj i/mly. உடன் ketop inj @3ml i/mly ஐ 5 நாட்களுக்கு நிர்வகிக்கும்படி அவருக்குப் பரிந்துரைத்தார்.
asking about vaccination schedule of broiler  chicks.,பிராய்லர் குஞ்சுகளுக்கு தடுப்பூசி போடும் அட்டவணை பற்றி கேட்டேன்.
"0-5days=f1ranikhet,10-15days=i.b.d.vaccine,20-21days=booster dose ranikhet.","0-5நாட்கள்=எஃப்1ராணிகெட்,10-15நாட்கள்=ஐ.பி.டி.தடுப்பூசி,20-21நாட்கள்=பூஸ்டர் டோஸ் ராணிகெட்."
asking for the control measure to control leaf eating caterpillar in lemon.,எலுமிச்சம்பழத்தில் இலை உண்ணும் கம்பளிப்பூச்சியைக் கட்டுப்படுத்த கட்டுப்பாட்டு நடவடிக்கையைக் கோருகிறது.
advised to spray 3 numbers of sprays of dimacron @ 4 milli litre per litre of water at an interval of 7 days.,7 நாட்கள் இடைவெளியில் ஒரு லிட்டர் தண்ணீருக்கு 4 மில்லி லிட்டர் டைமாக்ரான் 3 எண்கள் தெளிக்க அறிவுறுத்தப்பட்டது.
asking about financial assistance for dairy farming.,பால் பண்ணைக்கான நிதியுதவி குறித்து கேட்டனர்.
suggested to contact with nearest s.b.i.branch for loans &finances.,கடன்கள் மற்றும் நிதிகளுக்கு அருகிலுள்ள s.b.i. கிளையைத் தொடர்பு கொள்ள பரிந்துரைக்கப்படுகிறது.
asking about treatment of caugh of a goat.,ஒரு ஆட்டின் பிடிப்பு சிகிச்சை பற்றி கேட்டேன்.
"suggested him to administer caflon powder @10gm twice daily for 5 days,",5 நாட்களுக்கு தினமும் 10 கிராம் கேஃப்லான் பவுடரை இரண்டு முறை கொடுக்க அவருக்கு பரிந்துரைத்தார்.
asking about the control measure for fruit borer of bottle gourd.,சுரைக்காய் காய் துளைப்பான்களைக் கட்டுப்படுத்தும் நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested mr ghosh to spray malathion 50 ec @2ml/litre of water as the controlling measure for fruit borer of bottle gourd.,சுரைக்காய் காய் துளைப்பான்களைக் கட்டுப்படுத்தும் நடவடிக்கையாக மாலத்தியான் 50 இசி @2மிலி/லிட்டர் தண்ணீரில் தெளிக்க திரு கோஷ் பரிந்துரைத்தார்.
asking about some variety name of chilli.,மிளகாயின் சில வகைப் பெயர்களைக் கேட்டேன்.
"suggested to grow variety like-np-46,pusa jwala,suryamukhi,tejaswinee.","என்பி-46, பூசா ஜ்வாலா, சூர்யமுகி, தேஜஸ்வினி போன்ற வகைகளை வளர்க்க பரிந்துரைக்கப்படுகிறது."
asked about the control measure of fruit and stem borer of okra.,ஓக்ராவின் பழம் மற்றும் தண்டு துளைப்பான்களின் கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டனர்.
suggested to spray the crop with malathion 50 ec @ 2 ml per lit of water.,மாலத்தியான் 50 இசி @ 2 மில்லி ஒரு லிட்டர் தண்ணீருக்கு பயிர்களுக்கு தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking for the control measure to control rice case worm which is affecting his paddy cultivation very badly.,நெல் சாகுபடியை மிகவும் மோசமாக பாதிக்கும் நெற்பயிர் புழுவை கட்டுப்படுத்த நடவடிக்கை எடுக்க வேண்டும் என்று கேட்டுக் கொண்டார்.
suggested to spray chlorpyriphos 20 ec @ 2 milli litre per litre of water.,ஒரு லிட்டர் தண்ணீருக்கு குளோர்பைரிபாஸ் 20 இசி @ 2 மில்லி லிட்டர் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about some early cabbage varieties.,சில ஆரம்ப முட்டைக்கோஸ் வகைகள் பற்றி கேட்கிறேன்.
"suggested to grow early variety like-golden acre,pride of india,pusa mukta etc.","தங்க ஏக்கர், இந்தியாவின் பெருமை, பூசா முக்தா போன்ற ஆரம்ப வகைகளை வளர்க்க பரிந்துரைக்கப்படுகிறது."
asking about the control measure to control anthracnose disease in chilli.,மிளகாயில் உள்ள ஆந்த்ராக்னோஸ் நோயை கட்டுப்படுத்தும் நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to apply mancozeb@2.5gram/liter of water.,2.5 கிராம்/லிட்டர் தண்ணீருக்கு மான்கோசெப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asked about the control measure of root rot of bottle gourd.,பூசணிக்காயின் வேர் அழுகலை கட்டுப்படுத்தும் நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to follow pre sowing seed treatment with captan 50 wp @ 5 gm per kg of seed.,ஒரு கிலோ விதைக்கு கேப்டான் 50 wp @ 5 gm உடன் விதைப்பதற்கு முன் விதை நேர்த்தி செய்ய பரிந்துரைக்கப்படுகிறது.
asking about some early variety name of cabbage.,முட்டைக்கோசின் சில ஆரம்ப வகைப் பெயர்களைப் பற்றி கேட்டேன்.
"suggested to grow early variety like-golden acre,pusa mukta,pride of india.","தங்க ஏக்கர், பூசா முக்தா, இந்தியாவின் பெருமை போன்ற ஆரம்ப வகைகளை வளர்க்க பரிந்துரைக்கப்படுகிறது."
asking about the planting time of betel vine,வெற்றிலை கொடியின் நடவு நேரம் குறித்து கேட்டனர்
april to august,ஏப்ரல் முதல் ஆகஸ்ட் வரை
asking about the fertilizer management of potato.,உருளைக்கிழங்கு உர மேலாண்மை பற்றி கேட்டறிந்தார்.
"suggested mr koiri to apply urea-19 kg,super-45kg,potash-12 kg and compost 2 quintal as per bigha.","கோயிரி யூரியா-19 கிலோ, சூப்பர்-45 கிலோ, பொட்டாஷ்-12 கிலோ மற்றும் பிகாவின் படி 2 குவிண்டால் உரம் இட வேண்டும் என்று பரிந்துரைத்தார்."
suggested to clean the wound with normal saline and then spray topicure spray over the affected area.,"காயத்தை சாதாரண உமிழ்நீரைக் கொண்டு சுத்தம் செய்யவும், பின்னர் பாதிக்கப்பட்ட பகுதியில் டாபிக்சர் ஸ்ப்ரேயை தெளிக்கவும்."
asking about some early cabbage variety.,சில ஆரம்ப முட்டைக்கோஸ் வகைகளைப் பற்றி கேட்கிறேன்.
"suggested in details regarding early cabbage variety like-golden acre,pride of india,pusa mukta etc.","கோல்டன் ஏக்கர், இந்தியாவின் பெருமை, பூசா முக்தா போன்ற ஆரம்பகால முட்டைக்கோஸ் வகைகளைப் பற்றிய விவரங்களில் பரிந்துரைக்கப்பட்டது."
asking about bloat of a calf.,ஒரு கன்றின் வீக்கம் பற்றி கேட்கிறது.
suggested him to administer floaratone bolus @1 bolus daily for3 days.,ஃப்ளோராடோன் போலஸ் @1 போலஸை தினமும் 3 நாட்களுக்கு வழங்க அவருக்கு பரிந்துரைத்தார்.
asking about the control measure of fruit and shoot borer,பழம் மற்றும் தளிர் துளைப்பான் கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்
suggested to spay malathion 50 ec @ 1.5 ml/liter water.,மாலத்தியான் 50 இசி @ 1.5 மிலி/லிட்டர் தண்ணீரில் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking for the control measure against fruit borers in cucumber.,வெள்ளரிக்காயில் பழம் துளைப்பான்களை கட்டுப்படுத்த நடவடிக்கை எடுக்க வேண்டும்.
advised to spray malathion 50ec @ 2 milli litre per litre of water followed by a waiting period of 10 days.,மாலத்தியான் 50இசி @ 2 மில்லி லிட்டர் தண்ணீருக்கு 10 நாட்கள் காத்திருப்பு காலத்தை தொடர்ந்து தெளிக்க அறிவுறுத்தப்பட்டது.
suggested to administer neblon powder @50 gm twice daily for five days.along with that administer tetracycline bolus @2 bolus twice daily for five days.,நெப்லான் பவுடர் @50 கிராம் தினசரி ஐந்து நாட்களுக்கு இரண்டு முறை கொடுக்க பரிந்துரைக்கப்படுகிறது. அதனுடன் டெட்ராசைக்ளின் போலஸ் @2 போலஸை தினமும் இரண்டு முறை ஐந்து நாட்களுக்கு வழங்கவும்.
asking that is there are any govt. schemes or subsidy if he goes for purchasing of knap sack sprayer.,ஏதாவது அரசு இருக்கிறதா என்று கேட்கிறார். அவர் நாப் சாக்கு தெளிப்பான் வாங்கச் சென்றால் திட்டங்கள் அல்லது மானியம்.
advised mr. guwala to coordinate with the district agriculture officer of his district.,அறிவுறுத்தினார் திரு. குவாலா தனது மாவட்டத்தின் மாவட்ட வேளாண் அதிகாரியுடன் ஒருங்கிணைக்க வேண்டும்.
details about fungicides,பூஞ்சைக் கொல்லிகள் பற்றிய விவரங்கள்
describe him in details,அவரை விரிவாக விவரிக்கவும்
asking about some variety name of cabbage.,முட்டைக்கோசின் பல்வேறு பெயர்களைக் கேட்டேன்.
"suggested in details about the early variety like-golden acre,pride of india,pusa mukta etc.","தங்க ஏக்கர், இந்தியாவின் பெருமை, பூசா முக்தா போன்ற ஆரம்ப வகைகளைப் பற்றிய விவரங்களில் பரிந்துரைக்கப்பட்டது."
asking about the control measure to control fruit rot problem in cucumber,வெள்ளரியில் பழ அழுகலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்
suggested to spray dithane m-45@2gram/liter of water followed by waiting period for 5-7 days.,"dithane m-45@2gram/liter தண்ணீர் தெளிக்கவும், அதன் பிறகு 5-7 நாட்கள் காத்திருக்கவும்."
suggested to administer neblon powder @50 gm twice daily for five days.along with that administer tetracycline bolus @2 bolus twice daily.,நெப்லான் பவுடர் @50 கிராம் தினசரி ஐந்து நாட்களுக்கு இரண்டு முறை கொடுக்க பரிந்துரைக்கப்படுகிறது. அதனுடன் டெட்ராசைக்ளின் போலஸ் @2 போலஸை தினமும் இரண்டு முறை வழங்கவும்.
telling that he has been asked for bribe by agricultural development officer and the vlew of his locality when he approached them for sanctioning of kisan credit card loan.,"கிசான் கிரெடிட் கார்டு கடனை அனுமதிப்பதற்காக தன்னை அணுகியபோது, ​​வேளாண் வளர்ச்சி அலுவலர் மற்றும் அவரது வட்டாரத்தைச் சேர்ந்த வாலிபரிடம் லஞ்சம் கேட்டதாகக் கூறினார்."
"advised mr. barman to lodge a complain against them in written to the concerned district agricultural officer, department of agriculture, govt. of assam. the farmer also suggested to approach nearest nationalised bank for kisan credit card loan.","அறிவுறுத்தினார் திரு. அவர்கள் மீது சம்பந்தப்பட்ட மாவட்ட வேளாண்மை அலுவலர், வேளாண்மைத் துறை, அரசுக்கு எழுத்துப்பூர்வமாக புகார் அளிக்க வேண்டும். அஸ்ஸாம். கிசான் கிரெடிட் கார்டு கடனுக்காக அருகிலுள்ள தேசியமயமாக்கப்பட்ட வங்கியை அணுகவும் விவசாயி பரிந்துரைத்தார்."
asking about treatment of bloat of a cow.,ஒரு பசுவின் வீக்கம் சிகிச்சை பற்றி கேட்டேன்.
suggested him to administer floaratone bolus @2bolus twice daily for 3 days.,floaratone bolus @2bolus ஐ தினமும் இரண்டு முறை 3 நாட்களுக்கு வழங்க அவருக்கு பரிந்துரைத்தார்.
asking about the control measure of shoot and fruit borer,தளிர் மற்றும் காய் துளைப்பான் ஆகியவற்றை கட்டுப்படுத்தும் முறை பற்றி கேட்டறிந்தார்
suggested to apply trichoderma card as biological control agent or spray malathion 50 ec @ 1.5ml/liter water.,டிரைக்கோடெர்மா அட்டையை உயிரியல் கட்டுப்பாட்டு முகவராகப் பயன்படுத்தவும் அல்லது மாலத்தியான் 50 இசி @ 1.5 மிலி/லிட்டர் தண்ணீரில் தெளிக்கவும் பரிந்துரைக்கப்படுகிறது.
suggested to administer neblon powder @50 gm twice daily for five days.,நெப்லான் பவுடர் @50 கிராம் தினமும் இரண்டு முறை ஐந்து நாட்களுக்கு கொடுக்க பரிந்துரைக்கப்படுகிறது.
asking about poultry farming.,கோழி வளர்ப்பு பற்றி கேட்டேன்.
"suggested him how to establish a poultry farming-chick selection,housing,vaccination,treatment,marketing etc.","கோழி வளர்ப்பு-குஞ்சு தேர்வு, வீட்டுவசதி, தடுப்பூசி, சிகிச்சை, சந்தைப்படுத்தல் போன்றவற்றை எவ்வாறு நிறுவுவது என்று அவருக்கு பரிந்துரைத்தார்."
asking about treatment of white diarrhoea of a poultry.,ஒரு கோழியின் வெள்ளை வயிற்றுப்போக்கு சிகிச்சை பற்றி கேட்கிறது.
suggested him to administer tetracycline powder @4gm in 4 ltr of water 2-3 times daily.,டெட்ராசைக்ளின் பவுடரை @4 கிராம் 4 லிட்டர் தண்ணீரில் தினமும் 2-3 முறை கொடுக்க அவருக்கு பரிந்துரைத்தார்.
asking for the control measure against fruit borers in brinjal.,கத்தரிக்காயில் பழம் துளைப்பான்களைக் கட்டுப்படுத்த நடவடிக்கை எடுக்க வேண்டும்.
suggested to spray decis 2.4ec @ 1 milli litre per litre of water.,ஒரு லிட்டர் தண்ணீருக்கு டெசிஸ் 2.4இசி @ 1 மில்லி லிட்டர் என்ற அளவில் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about some varity name of tomato.,தக்காளியின் சில வகைப் பெயர்களைக் கேட்டேன்.
"suggested to grow variety like-punjam chhuhara,pusa early dwarf,pusa rubi,arka alok.","புஞ்சம் சூஹாரா, பூசா ஆரம்ப குள்ளன், பூசா ரூபி, அர்கா அலோக் போன்ற வகைகளை வளர்க்க பரிந்துரைக்கப்படுகிறது."
asking about the controlling measure for rice hispa.,நெல் ஹிஸ்பாவை கட்டுப்படுத்தும் நடவடிக்கை பற்றி கேட்டனர்.
suggested mr gokh to spray monocrotophos 40ec@4ml/litre of water for controlling rice hispa.,நெல் ஹிஸ்பாவை கட்டுப்படுத்த மோனோகுரோட்டோபாஸ் 40இசி@4மிலி/லிட்டர் தண்ணீரில் தெளிக்க கோக் பரிந்துரைத்தார்.
asking about the control measure to control rice case worm pest in paddy field.,நெல் வயலில் நெற்பயிர் பூச்சியைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை குறித்து கேட்டறிந்தார்.
suggested to spray tricel 20ec@2mililiter/liter of water.,டிரைசல் 20இசி@2மிலி/லிட்டர் தண்ணீர் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking the fertilizer dose of knol khol to be cultivated in a land of 1 bigha along with the planting distance.,நடவு தூரத்துடன் 1 பிகா நிலத்தில் பயிரிடப்படும் நோல் கோலின் உர அளவைக் கேட்கிறது.
"23, 41, 13 and 200 kilo grams of urea, ssp, mop and farm yard manure respectively have been suggested for 1 bigha of land for knol khol cultivation. planting distance suggested is 30 centimetre from row to row and 25 centimetre from plant to plant.","23, 41, 13 மற்றும் 200 கிலோகிராம் யூரியா, எஸ்எஸ்பி, துடைப்பான் மற்றும் பண்ணை முற்றத்தில் உரம் ஆகியவை முறையே 1 பிகா நிலத்தில் நோல் கோல் சாகுபடிக்கு பரிந்துரைக்கப்பட்டுள்ளன. நடவு தூரம் வரிசையிலிருந்து வரிசைக்கு 30 சென்டிமீட்டர் மற்றும் செடியிலிருந்து செடிக்கு 25 சென்டிமீட்டர் என பரிந்துரைக்கப்படுகிறது."
asking about the controlling measure for fruit borer of brinjal.,கத்திரிக்காய் பழம் துளைப்பான் கட்டுப்படுத்தும் நடவடிக்கை பற்றி கேட்டறிந்தார்.
suggested to spray malathion 50 ec@2ml/litre of water for controlling fruit borer of brinjal.,கத்தரிக்காயில் பழம் துளைப்பான்களைக் கட்டுப்படுத்த மாலத்தியான் 50 இசி@2மிலி/லிட்டர் தண்ணீரில் தெளிக்க பரிந்துரைக்கப்படுகிறது.
"suggested to grow variety like-pusa jwala,suryamukhi,tejaswini,hyb-1,hyb-2,hyb-3","பூசா ஜ்வாலா, சூர்யமுகி, தேஜஸ்வினி, ஹைப்-1, ஹைப்-2, ஹைப்-3 போன்ற வகைகளை வளர்க்க பரிந்துரைக்கப்பட்டது."
asking about the age of castration in goat.,ஆட்டின் காஸ்ட்ரேஷன் வயதைக் கேட்கிறது.
the proper age for castration in case goat is 2-3 month of age.,ஒரு ஆடு 2-3 மாத வயதாக இருந்தால் காஸ்ட்ரேஷன் செய்வதற்கான சரியான வயது.
suggested mr laskar to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.,கத்தரிக்காய் பழம் துளைப்பான்களைக் கட்டுப்படுத்த மாலத்தியான் 50இசி@2மிலி/லிட்டர் தண்ணீரில் தெளிக்க லஸ்கர் பரிந்துரைத்தார்.
asking about the control measure to control termite infestation in root portion of brinjal.,கத்தரிக்காயின் வேர் பகுதியில் கரையான் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்.
suggested to apply furadon 3g@10gram/plant near the base around the root.,ஃபுராடான் 3g@10கிராம்/செடியை வேரைச் சுற்றி அடிப்பகுதிக்கு அருகில் இட வேண்டும்.
asking for the control meausure against aphids in black gram cultivation.,உளுந்து சாகுபடியில் அசுவினிக்கு எதிரான கட்டுப்பாட்டு நடவடிக்கையை கோருகிறது.
rogor 40ec solution @ 75 milli litre in 60 litres of water for per bigha of land has been suggested to be sparyed for such pests.,ஒரு பிகா நிலத்திற்கு 60 லிட்டர் தண்ணீரில் 75 மில்லி லிட்டர் ரோகோர் 40இசி கரைசல் போன்ற பூச்சிகளுக்கு தெளிக்க பரிந்துரைக்கப்படுகிறது.
